rater,pair_id,shown_a,shown_b,pick,winner,ms,study
7d79df8208,ads2-redo:slowroad:omni-vs-seedance2,omni,seedance2,tie,,50335,6aaf887218ee882342b2fe2d
1d041dcae6,ads2-redo:quiet:omni-vs-seedance2,omni,seedance2,a,omni,49181,6aaf887218ee882342b2fe2d
1d041dcae6,ads6-omni:harbor:omni-vs-wan3,omni,wan3,b,wan3,58016,6aaf887218ee882342b2fe2d
1d041dcae6,ads6-omni:lantern:omni-vs-wan3,wan3,omni,b,omni,72398,6aaf887218ee882342b2fe2d
1d041dcae6,ads6-omni:orchard:omni-vs-seedance2,seedance2,omni,a,seedance2,52461,6aaf887218ee882342b2fe2d
1d041dcae6,ads6-omni:slowroad:omni-vs-seedance2,seedance2,omni,b,omni,66245,6aaf887218ee882342b2fe2d
3d7583ee3d,ads2-redo:harbor:omni-vs-wan3,omni,wan3,tie,,52050,6aaf887218ee882342b2fe2d
3d7583ee3d,ads2-redo:lantern:omni-vs-wan3,omni,wan3,tie,,46658,6aaf887218ee882342b2fe2d
3d7583ee3d,ads2-redo:orchard:omni-vs-wan3,omni,wan3,b,wan3,45898,6aaf887218ee882342b2fe2d
3d7583ee3d,ads2-redo:quiet:heygen-vs-seedance2,seedance2,heygen,tie,,70933,6aaf887218ee882342b2fe2d
3d7583ee3d,ads2-redo:slowroad:omni-vs-wan3,omni,wan3,tie,,47042,6aaf887218ee882342b2fe2d
92866a7fda,ads2-redo:harbor:seedance2-vs-wan3,wan3,seedance2,a,wan3,53568,6aaf887218ee882342b2fe2d
92866a7fda,ads2-redo:lantern:seedance2-vs-wan3,wan3,seedance2,b,seedance2,48067,6aaf887218ee882342b2fe2d
92866a7fda,ads2-redo:orchard:seedance2-vs-wan3,seedance2,wan3,a,seedance2,43956,6aaf887218ee882342b2fe2d
92866a7fda,ads2-redo:quiet:heygen-vs-wan3,heygen,wan3,b,wan3,40915,6aaf887218ee882342b2fe2d
92866a7fda,ads2-redo:slowroad:seedance2-vs-wan3,seedance2,wan3,b,wan3,44456,6aaf887218ee882342b2fe2d
5c41689c41,ads2-redo:quiet:heygen-vs-seedance2,heygen,seedance2,a,heygen,55620,6aaf38e61e8bf3afc8f53d0c
5c41689c41,ads6-omni:harbor:omni-vs-wan3,wan3,omni,b,omni,147080,6aaf38e61e8bf3afc8f53d0c
5c41689c41,ads6-omni:lantern:omni-vs-wan3,omni,wan3,a,omni,104650,6aaf38e61e8bf3afc8f53d0c
5c41689c41,ads6-omni:orchard:omni-vs-seedance2,seedance2,omni,b,omni,58774,6aaf38e61e8bf3afc8f53d0c
5c41689c41,ads6-omni:slowroad:omni-vs-seedance2,omni,seedance2,a,omni,66717,6aaf38e61e8bf3afc8f53d0c
8d21e76304,ads2-redo:harbor:seedance2-vs-wan3,wan3,seedance2,b,seedance2,51374,6aaf887218ee882342b2fe2d
8d21e76304,ads2-redo:lantern:seedance2-vs-wan3,seedance2,wan3,a,seedance2,47559,6aaf887218ee882342b2fe2d
8d21e76304,ads2-redo:orchard:seedance2-vs-wan3,seedance2,wan3,b,wan3,43885,6aaf887218ee882342b2fe2d
8d21e76304,ads2-redo:quiet:heygen-vs-wan3,heygen,wan3,a,heygen,43921,6aaf887218ee882342b2fe2d
8d21e76304,ads2-redo:slowroad:seedance2-vs-wan3,seedance2,wan3,a,seedance2,46130,6aaf887218ee882342b2fe2d
af2d623236,ads2-redo:harbor:heygen-vs-wan3,wan3,heygen,tie,,54253,6aaf887218ee882342b2fe2d
af2d623236,ads2-redo:lantern:heygen-vs-wan3,heygen,wan3,a,heygen,47015,6aaf887218ee882342b2fe2d
af2d623236,ads2-redo:orchard:heygen-vs-wan3,wan3,heygen,tie,,46013,6aaf887218ee882342b2fe2d
af2d623236,ads2-redo:quiet:heygen-vs-seedance2,heygen,seedance2,tie,,45831,6aaf887218ee882342b2fe2d
af2d623236,ads2-redo:slowroad:heygen-vs-wan3,heygen,wan3,a,heygen,49047,6aaf887218ee882342b2fe2d
799005d6da,ads2-redo:harbor:heygen-vs-omni,omni,heygen,a,omni,75139,6aaf887218ee882342b2fe2d
799005d6da,ads2-redo:lantern:heygen-vs-omni,omni,heygen,b,heygen,45382,6aaf887218ee882342b2fe2d
799005d6da,ads2-redo:orchard:heygen-vs-omni,heygen,omni,b,omni,46764,6aaf887218ee882342b2fe2d
799005d6da,ads2-redo:quiet:omni-vs-wan3,omni,wan3,tie,,42866,6aaf887218ee882342b2fe2d
799005d6da,ads2-redo:slowroad:heygen-vs-omni,heygen,omni,tie,,45149,6aaf887218ee882342b2fe2d
121305d2b7,ads2-redo:harbor:seedance2-vs-wan3,wan3,seedance2,tie,,46170,6aaf38e61e8bf3afc8f53d0c
121305d2b7,ads2-redo:lantern:seedance2-vs-wan3,wan3,seedance2,a,wan3,42474,6aaf38e61e8bf3afc8f53d0c
121305d2b7,ads2-redo:orchard:seedance2-vs-wan3,wan3,seedance2,a,wan3,42036,6aaf38e61e8bf3afc8f53d0c
121305d2b7,ads2-redo:quiet:seedance2-vs-wan3,wan3,seedance2,a,wan3,44017,6aaf38e61e8bf3afc8f53d0c
121305d2b7,ads2-redo:slowroad:seedance2-vs-wan3,seedance2,wan3,b,wan3,44744,6aaf38e61e8bf3afc8f53d0c
947a7e1182,ads2-redo:harbor:heygen-vs-omni,heygen,omni,b,omni,63423,6aaf887218ee882342b2fe2d
947a7e1182,ads2-redo:lantern:heygen-vs-omni,heygen,omni,tie,,44594,6aaf887218ee882342b2fe2d
947a7e1182,ads2-redo:orchard:heygen-vs-omni,heygen,omni,b,omni,45215,6aaf887218ee882342b2fe2d
947a7e1182,ads2-redo:quiet:omni-vs-wan3,omni,wan3,a,omni,45184,6aaf887218ee882342b2fe2d
947a7e1182,ads2-redo:slowroad:heygen-vs-omni,heygen,omni,tie,,52598,6aaf887218ee882342b2fe2d
9fff0f04d6,ads2-redo:harbor:heygen-vs-seedance2,heygen,seedance2,a,heygen,47382,6aaf887218ee882342b2fe2d
9fff0f04d6,ads2-redo:lantern:heygen-vs-seedance2,seedance2,heygen,a,seedance2,43570,6aaf887218ee882342b2fe2d
9fff0f04d6,ads2-redo:orchard:heygen-vs-seedance2,seedance2,heygen,b,heygen,41671,6aaf887218ee882342b2fe2d
9fff0f04d6,ads2-redo:quiet:omni-vs-wan3,wan3,omni,a,wan3,42803,6aaf887218ee882342b2fe2d
9fff0f04d6,ads2-redo:slowroad:heygen-vs-seedance2,heygen,seedance2,b,seedance2,44008,6aaf887218ee882342b2fe2d
e200be190a,ads2-redo:harbor:heygen-vs-omni,heygen,omni,a,heygen,115609,6aaf887218ee882342b2fe2d
e200be190a,ads2-redo:lantern:heygen-vs-omni,heygen,omni,b,omni,65711,6aaf887218ee882342b2fe2d
e200be190a,ads2-redo:orchard:heygen-vs-omni,heygen,omni,a,heygen,45887,6aaf887218ee882342b2fe2d
e200be190a,ads2-redo:quiet:omni-vs-wan3,omni,wan3,a,omni,28733,6aaf887218ee882342b2fe2d
e200be190a,ads2-redo:slowroad:heygen-vs-omni,heygen,omni,b,omni,35136,6aaf887218ee882342b2fe2d
7bb77549ed,ads2-redo:harbor:omni-vs-wan3,wan3,omni,b,omni,117104,6aaf887218ee882342b2fe2d
7bb77549ed,ads2-redo:lantern:omni-vs-wan3,wan3,omni,b,omni,72915,6aaf887218ee882342b2fe2d
7bb77549ed,ads2-redo:orchard:omni-vs-wan3,omni,wan3,b,wan3,56446,6aaf887218ee882342b2fe2d
7bb77549ed,ads2-redo:quiet:heygen-vs-seedance2,seedance2,heygen,a,seedance2,63671,6aaf887218ee882342b2fe2d
7bb77549ed,ads2-redo:slowroad:omni-vs-wan3,omni,wan3,a,omni,59575,6aaf887218ee882342b2fe2d
522ea4abe0,ads2-redo:harbor:heygen-vs-seedance2,seedance2,heygen,tie,,105862,6aaf38e61e8bf3afc8f53d0c
522ea4abe0,ads2-redo:lantern:heygen-vs-seedance2,heygen,seedance2,b,seedance2,48721,6aaf38e61e8bf3afc8f53d0c
522ea4abe0,ads2-redo:orchard:heygen-vs-seedance2,heygen,seedance2,b,seedance2,45508,6aaf38e61e8bf3afc8f53d0c
522ea4abe0,ads2-redo:quiet:heygen-vs-wan3,wan3,heygen,a,wan3,54262,6aaf38e61e8bf3afc8f53d0c
522ea4abe0,ads2-redo:slowroad:heygen-vs-seedance2,seedance2,heygen,a,seedance2,52846,6aaf38e61e8bf3afc8f53d0c
4d55744d60,ads2-redo:harbor:heygen-vs-wan3,heygen,wan3,b,wan3,53096,6aaf887218ee882342b2fe2d
4d55744d60,ads2-redo:lantern:heygen-vs-wan3,heygen,wan3,b,wan3,45836,6aaf887218ee882342b2fe2d
4d55744d60,ads2-redo:orchard:heygen-vs-wan3,heygen,wan3,b,wan3,43083,6aaf887218ee882342b2fe2d
4d55744d60,ads2-redo:quiet:heygen-vs-omni,heygen,omni,b,omni,43699,6aaf887218ee882342b2fe2d
4d55744d60,ads2-redo:slowroad:heygen-vs-wan3,heygen,wan3,b,wan3,123645,6aaf887218ee882342b2fe2d
10a7621aa0,ads2-redo:harbor:heygen-vs-omni,heygen,omni,a,heygen,26871,6aaf887218ee882342b2fe2d
10a7621aa0,ads2-redo:lantern:heygen-vs-omni,omni,heygen,tie,,28252,6aaf887218ee882342b2fe2d
10a7621aa0,ads2-redo:orchard:heygen-vs-omni,omni,heygen,a,omni,26018,6aaf887218ee882342b2fe2d
10a7621aa0,ads2-redo:quiet:omni-vs-seedance2,omni,seedance2,b,seedance2,27500,6aaf887218ee882342b2fe2d
10a7621aa0,ads2-redo:slowroad:heygen-vs-omni,omni,heygen,b,heygen,130101,6aaf887218ee882342b2fe2d
e5d9377769,ads2-redo:harbor:omni-vs-wan3,omni,wan3,a,omni,47425,6aaf887218ee882342b2fe2d
e5d9377769,ads2-redo:lantern:omni-vs-wan3,omni,wan3,a,omni,44349,6aaf887218ee882342b2fe2d
e5d9377769,ads2-redo:orchard:omni-vs-wan3,omni,wan3,b,wan3,43529,6aaf887218ee882342b2fe2d
e5d9377769,ads2-redo:quiet:heygen-vs-seedance2,seedance2,heygen,a,seedance2,45754,6aaf887218ee882342b2fe2d
e5d9377769,ads2-redo:slowroad:omni-vs-wan3,wan3,omni,a,wan3,46995,6aaf887218ee882342b2fe2d
460ff60d03,ads2-redo:harbor:heygen-vs-seedance2,heygen,seedance2,b,seedance2,51793,6aaf887218ee882342b2fe2d
460ff60d03,ads2-redo:lantern:heygen-vs-seedance2,heygen,seedance2,a,heygen,56841,6aaf887218ee882342b2fe2d
460ff60d03,ads2-redo:orchard:heygen-vs-seedance2,heygen,seedance2,b,seedance2,48135,6aaf887218ee882342b2fe2d
460ff60d03,ads2-redo:quiet:seedance2-vs-wan3,wan3,seedance2,b,seedance2,60395,6aaf887218ee882342b2fe2d
460ff60d03,ads2-redo:slowroad:heygen-vs-seedance2,heygen,seedance2,a,heygen,123221,6aaf887218ee882342b2fe2d
2c542471cc,ads2-redo:harbor:omni-vs-wan3,wan3,omni,a,wan3,39395,6aaf38e61e8bf3afc8f53d0c
2c542471cc,ads2-redo:lantern:omni-vs-wan3,omni,wan3,a,omni,42852,6aaf38e61e8bf3afc8f53d0c
2c542471cc,ads2-redo:orchard:omni-vs-wan3,omni,wan3,b,wan3,42821,6aaf38e61e8bf3afc8f53d0c
2c542471cc,ads2-redo:quiet:omni-vs-wan3,omni,wan3,a,omni,43366,6aaf38e61e8bf3afc8f53d0c
2c542471cc,ads2-redo:slowroad:omni-vs-wan3,omni,wan3,a,omni,45056,6aaf38e61e8bf3afc8f53d0c
cc01661f4d,ads2-redo:harbor:seedance2-vs-wan3,seedance2,wan3,a,seedance2,57769,6aaf887218ee882342b2fe2d
cc01661f4d,ads2-redo:lantern:seedance2-vs-wan3,wan3,seedance2,a,wan3,41367,6aaf887218ee882342b2fe2d
cc01661f4d,ads2-redo:orchard:seedance2-vs-wan3,seedance2,wan3,b,wan3,43620,6aaf887218ee882342b2fe2d
cc01661f4d,ads2-redo:quiet:omni-vs-seedance2,seedance2,omni,a,seedance2,44611,6aaf887218ee882342b2fe2d
cc01661f4d,ads2-redo:slowroad:seedance2-vs-wan3,wan3,seedance2,a,wan3,46006,6aaf887218ee882342b2fe2d
9fb6e93ad9,ads2-redo:harbor:seedance2-vs-wan3,wan3,seedance2,tie,,51563,6aaf887218ee882342b2fe2d
9fb6e93ad9,ads2-redo:lantern:seedance2-vs-wan3,wan3,seedance2,tie,,46614,6aaf887218ee882342b2fe2d
9fb6e93ad9,ads2-redo:orchard:seedance2-vs-wan3,seedance2,wan3,b,wan3,49403,6aaf887218ee882342b2fe2d
9fb6e93ad9,ads2-redo:quiet:heygen-vs-wan3,wan3,heygen,b,heygen,48721,6aaf887218ee882342b2fe2d
9fb6e93ad9,ads2-redo:slowroad:seedance2-vs-wan3,seedance2,wan3,b,wan3,48786,6aaf887218ee882342b2fe2d
b88277681f,ads2-redo:harbor:seedance2-vs-wan3,wan3,seedance2,a,wan3,52038,6aaf887218ee882342b2fe2d
b88277681f,ads2-redo:lantern:seedance2-vs-wan3,wan3,seedance2,b,seedance2,43243,6aaf887218ee882342b2fe2d
b88277681f,ads2-redo:orchard:seedance2-vs-wan3,seedance2,wan3,b,wan3,46053,6aaf887218ee882342b2fe2d
b88277681f,ads2-redo:quiet:heygen-vs-wan3,heygen,wan3,tie,,48789,6aaf887218ee882342b2fe2d
b88277681f,ads2-redo:slowroad:seedance2-vs-wan3,seedance2,wan3,a,seedance2,56844,6aaf887218ee882342b2fe2d
6d26945607,ads2-redo:harbor:heygen-vs-wan3,heygen,wan3,b,wan3,62103,6aaf887218ee882342b2fe2d
6d26945607,ads2-redo:lantern:heygen-vs-wan3,wan3,heygen,b,heygen,44433,6aaf887218ee882342b2fe2d
6d26945607,ads2-redo:orchard:heygen-vs-wan3,heygen,wan3,a,heygen,43812,6aaf887218ee882342b2fe2d
6d26945607,ads2-redo:quiet:heygen-vs-omni,omni,heygen,b,heygen,53425,6aaf887218ee882342b2fe2d
6d26945607,ads2-redo:slowroad:heygen-vs-wan3,wan3,heygen,a,wan3,55247,6aaf887218ee882342b2fe2d
d0b9efb533,ads2-redo:harbor:omni-vs-wan3,omni,wan3,a,omni,57846,6aaf887218ee882342b2fe2d
d0b9efb533,ads2-redo:lantern:omni-vs-wan3,omni,wan3,a,omni,50518,6aaf887218ee882342b2fe2d
d0b9efb533,ads2-redo:orchard:omni-vs-wan3,wan3,omni,a,wan3,62375,6aaf887218ee882342b2fe2d
d0b9efb533,ads2-redo:quiet:heygen-vs-seedance2,seedance2,heygen,a,seedance2,44998,6aaf887218ee882342b2fe2d
d0b9efb533,ads2-redo:slowroad:omni-vs-wan3,wan3,omni,a,wan3,45150,6aaf887218ee882342b2fe2d
87056f8bc0,ads2-redo:harbor:seedance2-vs-wan3,wan3,seedance2,tie,,46067,6aaf887218ee882342b2fe2d
87056f8bc0,ads2-redo:lantern:seedance2-vs-wan3,wan3,seedance2,a,wan3,42638,6aaf887218ee882342b2fe2d
87056f8bc0,ads2-redo:orchard:seedance2-vs-wan3,wan3,seedance2,b,seedance2,42450,6aaf887218ee882342b2fe2d
87056f8bc0,ads2-redo:quiet:heygen-vs-wan3,wan3,heygen,a,wan3,79647,6aaf887218ee882342b2fe2d
87056f8bc0,ads2-redo:slowroad:seedance2-vs-wan3,wan3,seedance2,tie,,46209,6aaf887218ee882342b2fe2d
e7d7520921,ads2-redo:harbor:omni-vs-wan3,wan3,omni,b,omni,41974,6aaf887218ee882342b2fe2d
e7d7520921,ads2-redo:lantern:omni-vs-wan3,omni,wan3,b,wan3,42322,6aaf887218ee882342b2fe2d
e7d7520921,ads2-redo:orchard:omni-vs-wan3,wan3,omni,a,wan3,36237,6aaf887218ee882342b2fe2d
e7d7520921,ads2-redo:quiet:heygen-vs-seedance2,seedance2,heygen,b,heygen,37775,6aaf887218ee882342b2fe2d
e7d7520921,ads2-redo:slowroad:omni-vs-wan3,omni,wan3,b,wan3,37437,6aaf887218ee882342b2fe2d
e4bc47fb10,ads2-redo:harbor:omni-vs-wan3,omni,wan3,a,omni,47139,6aaf887218ee882342b2fe2d
e4bc47fb10,ads2-redo:lantern:omni-vs-wan3,wan3,omni,a,wan3,51644,6aaf887218ee882342b2fe2d
e4bc47fb10,ads2-redo:orchard:omni-vs-wan3,wan3,omni,a,wan3,46766,6aaf887218ee882342b2fe2d
e4bc47fb10,ads2-redo:quiet:heygen-vs-wan3,heygen,wan3,b,wan3,44735,6aaf887218ee882342b2fe2d
e4bc47fb10,ads2-redo:slowroad:omni-vs-wan3,omni,wan3,b,wan3,48841,6aaf887218ee882342b2fe2d
c49e4c3d09,ads2-redo:quiet:omni-vs-seedance2,seedance2,omni,tie,,42717,6aaf887218ee882342b2fe2d
c49e4c3d09,ads6-omni:harbor:omni-vs-wan3,omni,wan3,a,omni,67729,6aaf887218ee882342b2fe2d
c49e4c3d09,ads6-omni:lantern:omni-vs-wan3,wan3,omni,a,wan3,66477,6aaf887218ee882342b2fe2d
c49e4c3d09,ads6-omni:orchard:omni-vs-seedance2,omni,seedance2,tie,,51997,6aaf887218ee882342b2fe2d
c49e4c3d09,ads6-omni:slowroad:omni-vs-seedance2,seedance2,omni,a,seedance2,58400,6aaf887218ee882342b2fe2d
80c8e68ec7,ads2-redo:harbor:omni-vs-wan3,wan3,omni,b,omni,36842,6aaf887218ee882342b2fe2d
80c8e68ec7,ads2-redo:lantern:omni-vs-wan3,wan3,omni,a,wan3,23013,6aaf887218ee882342b2fe2d
80c8e68ec7,ads2-redo:orchard:omni-vs-wan3,omni,wan3,b,wan3,23677,6aaf887218ee882342b2fe2d
80c8e68ec7,ads2-redo:quiet:heygen-vs-seedance2,heygen,seedance2,a,heygen,23500,6aaf887218ee882342b2fe2d
80c8e68ec7,ads2-redo:slowroad:omni-vs-wan3,omni,wan3,a,omni,24189,6aaf887218ee882342b2fe2d
23a3dd100d,ads2-redo:harbor:heygen-vs-omni,heygen,omni,a,heygen,24467,6aaf887218ee882342b2fe2d
23a3dd100d,ads2-redo:lantern:heygen-vs-omni,omni,heygen,a,omni,24912,6aaf887218ee882342b2fe2d
23a3dd100d,ads2-redo:orchard:heygen-vs-omni,omni,heygen,a,omni,49502,6aaf887218ee882342b2fe2d
23a3dd100d,ads2-redo:quiet:omni-vs-seedance2,seedance2,omni,b,omni,51617,6aaf887218ee882342b2fe2d
23a3dd100d,ads2-redo:slowroad:heygen-vs-omni,heygen,omni,b,omni,41359,6aaf887218ee882342b2fe2d
f8d9fc4823,ads2-redo:harbor:heygen-vs-seedance2,heygen,seedance2,tie,,58746,6aaf38e61e8bf3afc8f53d0c
f8d9fc4823,ads2-redo:lantern:heygen-vs-seedance2,heygen,seedance2,tie,,41645,6aaf38e61e8bf3afc8f53d0c
f8d9fc4823,ads2-redo:orchard:heygen-vs-seedance2,heygen,seedance2,b,seedance2,41116,6aaf38e61e8bf3afc8f53d0c
f8d9fc4823,ads2-redo:quiet:heygen-vs-wan3,wan3,heygen,tie,,42612,6aaf38e61e8bf3afc8f53d0c
f8d9fc4823,ads2-redo:slowroad:heygen-vs-seedance2,seedance2,heygen,tie,,54276,6aaf38e61e8bf3afc8f53d0c
9b6fa40f98,ads2-redo:harbor:omni-vs-seedance2,omni,seedance2,a,omni,26722,6aaf887218ee882342b2fe2d
